device,count
"dillontrailer-1-sw1.fas",2
"divinity-b-sw1",2
"divinity2-b-sw.fas",2
"dunster-ba-sw1",2
"dunster-bc-sw1",2
"dunster-be-sw1",2
"dunster-bh-sw1",2
"dunster-bm-sw1",2
"dunster16-1-sw1",2
"dunster16-1-sw2",2
"dunster53-b-sw.fas",2
"dunster69-b-sw.fas",2
"dunster77-b-sw.fas",2
"eliot-b-sw1",2
"eliot-bb-sw1",2
"eliot-bc-sw1",2
"eliot-bh-sw1",2
"eliot-bj-sw1",2
"eliot-bk-sw1",2
"eliot-bo-sw1",2
"elmwood33-b-sw1",2
"emerson-b-sw.fas",2
"esl-b-2-sw.fas",2
"esl-b-sw.fas",2
"everett10-gar-sw1.fas",2
"everett10-p4-sw.fas",2
"everett15-b-sw1",2
"everett17-b-sw1",2
"everett19-b-sw1",2
"everett23-b-1-sw.law",2
"everett23-b-2-sw.law",2
"facultyrow-b-sw.fas",2
"fair-2-sw1.fas",2
"fair-2-sw2.fas",2
"fair-g-sw1.fas",2
"fair-g-sw2.fas",2
"fairfax-3-sw1.fas",2
"fay-b-sw1",2
"fay-rm132-sw1",2
"fay-rm211-sw1",2
"fdf-barker-b-sw.fas",2
"fdf-bauer-b-sw.fas",2
"fdf-bio-b-sw.fas",2
"fdf-cgis-bn-sw.fas",2
"fdf-claverly-b-sw.fas",2
"fdf-cwp-b-sw.fas",2
"fdf-dewolfe20-gar-sw.fas",2
"fdf-dillon-1-sw.fas",2
"fdf-dunster5254-b-sw.fas",2
"fdf-geomuseum-b-sw.fas",2
"fdf-holyoke-b-sw.fas",2
"fdf-hurlbut-b-sw.fas",2
"fdf-jefferson-3-sw.fas",2
"fdf-longfellow-b-sw.fas",2
"fdf-lowell-b-sw.fas",2
"fdf-mallin-sb-sw.fas",2
"fdf-mass1414-3-sw.fas",2
"fdf-mcz-b-sw.fas",2
"fdf-moors-b-sw.fas",2
"fdf-oldquincy-bb-sw.fas",2
"fdf-oxford60-b-sw.fas",2
"fdf-perkins-b-sw.fas",2
"fdf-sever-b-sw.fas",2
"fdf-shaler-1-sw.fas",2
"fdf-smith-b-sw.fas",2
"fdf-story8-b-sw.fas",2
"fdf-stoughton-b-sw.fas",2
"fdf-straus-bs-sw.fas",2
"fdf-widener-d-sw.fas",2
"fdf-wjh-b-sw.fas",2
"fernald10-b-sw1",2
"fernald14-b-sw1",2
"fernald24-b-sw1",2
"fernald32-b-sw1",2
"fernald34-b-sw1",2
"fernald40-b-sw1",2
"fernald5-b-sw1",2
"fisher-b-sw.fas",2
"forest-crewbarn-sw.fas",2
"gannett-b-sw.law",2
"garage-sw.fas",2
"garden20-2-sw.fas",2
"garden20-sb-sw.fas",2
"garden29-4-sw1",2
"garden29-mdf-sw1",2
"garden30-b-sw1.fas",2
"garden60b-2-sw1",2
"garden60d-2-sw1",2
"garden60p-gr-sw3",2
"geomuseum-103-sw.fas",2
"geomuseum-2-2-sw.fas",2
"geomuseum-2-sw.fas",2
"geomuseum-218-rc-sw2",2
"geomuseum-4-sw.fas",2
"gilbert-bg-sw.fas",2
gordgw1,2
"gordontrack-1-sw1",2
"gore-bf-sw1",2
"gore-bj-sw1",2
"grant11-b-sw1",2
"grant3-b-sw1",2
"grant5-b-sw1",2
